_input,_num,_widgetName,_source,_resultNumber,_pageUrl,slika,slika/_source,slika/_title,slika/_alt,opis,kvadratura,cjena,eur_cjena,mjesto,poslovnica
,1,Prostor,Prostor,1,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=5162_1.JPG&width=220&height=165,thumb.php?file=5162_1.JPG&width=220&height=165,test,test,NOVOGRADNJA - Hotonj! Moderni i praktični stanovi u mirnom okruženju Hotonj Sarajevo,32 - 63m 2,50.880 KM - 100.170 KM,~26.093€,Hotonj,Centar
,2,Prostor,Prostor,2,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=5200_Vanjska%20slika.jpg&width=220&height=165,thumb.php?file=5200_Vanjska slika.jpg&width=220&height=165,test,test,Rezidencijalno naselje “Dobrinja exclusive” Vam nudi stanove vrhunskog kvaliteta. Cijena već od 1.239 KM/m2 + PDV. Useljivo: Septembar 2014.,54 - 134m 2,79.185 KM - 416.519 KM,~40.608€,Dobrinja,Novi Grad
,3,Prostor,Prostor,3,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=46/3690_1%20Zgrada%20sl1.JPG&width=220&height=165,thumb.php?file=46/3690_1 Zgrada sl1.JPG&width=220&height=165,test,test,NOVOGRADNJA! Uknjiženi luksuzni stanovi visoke kvalitete gradnje na atraktivnoj lokaciji preko puta Vijećnice,139 - 226m 2,Na upit,~0€,Stari Grad,Stari Grad
,4,Prostor,Prostor,4,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=53/2918_1vanjska.JPG&width=220&height=165,thumb.php?file=53/2918_1vanjska.JPG&width=220&height=165,test,test,UKNJIŽENO! Prodaja stanova u novogradnji projekat EPSILON Novi Grad – Sarajevo. Cijena već od 1.237 KM/m2 + PDV!,49 - 111m 2,73.597 KM - 141.010 KM,~37.743€,Buća Potok,Novi Grad
,5,Prostor,Prostor,5,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=6/645_Glavna.jpg&width=220&height=165,thumb.php?file=6/645_Glavna.jpg&width=220&height=165,test,test,Moderni apartmani uz more - novogradnja Tiha-Luka Neum,40 - 55m 2,Na upit,~0€,Neum,Stari Grad
,6,Prostor,Prostor,6,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=57/4849_1%20Vanjska.JPG&width=220&height=165,thumb.php?file=57/4849_1 Vanjska.JPG&width=220&height=165,test,test,Novoizgrađeni apartmani sa garažnim mjestom na Bjelašnici površine od 51m2 do 65m2 po jedinstvenoj cijeni od 2.470KM/m2,50 - 65m 2,125.254 KM - 160.006 KM,~64.233€,Bjelašnica,Novi Grad
,7,Prostor,Prostor,7,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=62/5252_1%20Zgrada.JPG&width=220&height=165,thumb.php?file=62/5252_1 Zgrada.JPG&width=220&height=165,test,test,NOVOGRADNJA! Uknjiženi stanovi rezidencijalnog tipa Stari Grad,128 - 149m 2,Na upit,~0€,Stari Grad,Stari Grad
,8,Prostor,Prostor,8,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=59/5057_2.jpg&width=220&height=165,thumb.php?file=59/5057_2.jpg&width=220&height=165,test,test,NOVOGRADNJA - Moja Malta! Jedinstven projekat na izvanrednoj lokaciji Dolac Malta,21 - 107m 2,54.519 KM - 256.800 KM,~27.959€,Dolac Malta,Mobilni agent
,9,Prostor,Prostor,9,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=63/1686_1%20Zgrada.jpg&width=220&height=165,thumb.php?file=63/1686_1 Zgrada.jpg&width=220&height=165,test,test,UKNJIŽENI stanovi u lameli 2 novogradnja „Pionirska Dolina“,31 - 97m 2,70.245 KM - 218.452 KM,~36.024€,Pionirska Dolina,Novo Sarajevo
,10,Prostor,Prostor,10,http://prostor.ba/ponuda/5-911/novogradnja,http://prostor.ba/ponuda/5-911/thumb.php?file=43/2486_Naselje.jpg&width=220&height=165,thumb.php?file=43/2486_Naselje.jpg&width=220&height=165,test,test,NOVOGRADNJA „Sarajevo panorama“ – fenomenalan pogled i čist vazduh nadomak Baščaršije,54 - 176m 2,Na upit,~0€,Stari Grad,Stari Grad
